Feature,Importance
Gender,4.426720534315573
Married,4.218888113428032
Dependents,8.079813379793789
Education,4.6296063680819435
Self_Employed,4.6808232397649965
ApplicantIncome,423.5699815408427
CoapplicantIncome,226.00424227833594
LoanAmount,191.26284829502254
Loan_Amount_Term,3.867117718861429
Credit_History,5.962604210481882
Property_Area,6.064403355424284
Total_Income,441.7796595893294
Loan_to_Income_Ratio,481.38693820767264
Loan_Percentage,478.02122147857443
